iter	Logloss
0	0.6878668611
1	0.6827419909
2	0.6778842583
3	0.6725598786
4	0.6678379759
5	0.662299994
6	0.6569570841
7	0.651787446
8	0.6470746373
9	0.6420937742
10	0.6394009476
11	0.6347574692
12	0.6310999526
13	0.6271861205
14	0.6232254578
15	0.618893991
16	0.6145277211
17	0.6118735382
18	0.6079235271
19	0.6044473043
20	0.6008147156
21	0.5975267151
22	0.5948110533
23	0.5915885443
24	0.5883168836
25	0.5854028138
26	0.5825285935
27	0.5789070272
28	0.5753824939
29	0.5716141892
30	0.5677538838
31	0.5648043599
32	0.5611474012
33	0.558594708
34	0.5555931999
35	0.5519990954
36	0.5501728679
37	0.5487067194
38	0.5472669349
39	0.5445679074
40	0.541990397
41	0.540633496
42	0.5374413689
43	0.5348490239
44	0.5327964246
45	0.5297414834
46	0.5269338225
47	0.5241673063
48	0.5212285461
49	0.5188269842
50	0.5162127555
51	0.513619321
52	0.5112633774
53	0.5090805764
54	0.5072304667
55	0.5048103175
56	0.5024172856
57	0.5004969111
58	0.4982778718
59	0.4962970866
60	0.4941063644
61	0.4918346226
62	0.4902748961
63	0.4886360737
64	0.4875465813
65	0.4867218113
66	0.4851188463
67	0.4834133046
68	0.4811682503
69	0.4789916423
70	0.4772772426
71	0.4753535496
72	0.4743284303
73	0.4726439318
74	0.4713680189
75	0.4693634809
76	0.467376773
77	0.4658827652
78	0.4638976686
79	0.462188316
80	0.460937329
81	0.4598029545
82	0.4583453321
83	0.4577200493
84	0.4565442766
85	0.4551686898
86	0.4540278301
87	0.4522959463
88	0.4512860908
89	0.44986593
90	0.44831417
91	0.4471525593
92	0.4457525648
93	0.4446919669
94	0.4441272039
95	0.4429524084
96	0.4416804707
97	0.4409948139
98	0.4396976718
99	0.4386015124
100	0.4375652665
101	0.4367492933
102	0.4359334797
103	0.4348047415
104	0.433836294
105	0.4332010735
106	0.432759146
107	0.4316462873
108	0.4312772356
109	0.4309322539
110	0.4296243964
111	0.4282718672
112	0.4275604679
113	0.426750488
114	0.4255717783
115	0.4245625869
116	0.4235463223
117	0.4227814064
118	0.4219062487
