iter	Passed	Remaining
0	3	3555
1	6	3112
2	8	2917
3	11	2742
4	12	2475
5	15	2642
6	17	2503
7	20	2526
8	22	2514
9	25	2509
10	26	2391
11	28	2323
12	31	2408
13	33	2336
14	35	2320
15	39	2409
16	40	2363
17	44	2422
18	46	2380
19	49	2416
20	51	2389
21	54	2432
22	56	2410
23	59	2417
24	62	2454
25	66	2496
26	68	2457
27	71	2490
28	73	2467
29	75	2442
30	77	2430
31	79	2418
32	83	2453
33	85	2423
34	88	2443
35	90	2420
36	91	2384
37	93	2356
38	94	2317
39	95	2288
40	97	2269
41	98	2244
42	99	2223
43	101	2202
44	103	2185
45	104	2173
46	106	2159
47	108	2149
48	110	2147
49	112	2132
50	113	2116
51	115	2106
52	117	2095
53	118	2081
54	119	2056
55	121	2054
56	123	2044
57	125	2034
58	128	2045
59	129	2028
60	130	2015
61	132	2008
62	134	2000
63	136	1990
64	137	1974
65	138	1956
66	139	1949
67	142	1948
68	144	1949
69	146	1941
70	147	1933
71	149	1931
72	151	1920
73	152	1909
74	153	1894
75	155	1888
76	157	1884
77	158	1877
78	160	1872
79	162	1868
80	164	1863
81	166	1860
82	167	1854
83	168	1841
84	170	1831
85	171	1827
86	173	1822
87	175	1818
88	177	1813
89	178	1809
90	180	1803
91	182	1799
92	184	1797
93	186	1794
94	186	1781
95	189	1779
96	190	1777
97	192	1769
98	194	1765
99	195	1760
100	197	1754
101	198	1748
102	200	1750
103	202	1747
104	203	1738
105	205	1731
106	206	1723
107	208	1722
108	209	1713
109	210	1704
110	212	1701
111	214	1700
112	216	1696
113	219	1702
114	220	1699
115	224	1708
116	226	1707
117	230	1720
118	232	1720
119	236	1734
120	240	1743
121	242	1744
122	244	1744
123	248	1753
124	249	1748
125	253	1760
126	255	1756
127	258	1760
128	260	1759
129	263	1762
130	265	1758
131	266	1754
132	270	1763
133	272	1761
134	276	1773
135	279	1776
136	281	1773
137	282	1765
138	285	1769
139	287	1768
140	291	1773
141	293	1771
142	296	1775
143	300	1784
144	306	1806
145	308	1805
146	312	1814
147	314	1808
148	316	1807
149	323	1830
150	328	1846
151	332	1856
152	334	1853
153	338	1859
154	340	1855
155	343	1855
156	345	1855
157	347	1852
158	349	1850
159	351	1846
160	353	1843
161	355	1840
162	359	1847
163	361	1843
164	364	1846
165	366	1842
166	369	1842
167	371	1837
168	373	1835
169	377	1845
170	383	1861
171	388	1870
172	393	1882
173	396	1882
174	400	1890
175	405	1898
176	406	1891
177	411	1898
178	414	1899
179	415	1894
180	419	1896
181	420	1890
182	423	1890
183	425	1886
184	426	1878
185	427	1871
186	430	1871
187	432	1866
188	433	1860
189	435	1858
190	437	1853
191	439	1847
192	440	1843
193	442	1838
194	444	1834
195	447	1833
196	448	1828
197	450	1823
198	452	1821
199	454	1816
200	455	1812
201	457	1808
202	459	1803
203	460	1798
204	462	1794
205	464	1789
206	465	1785
207	467	1780
208	468	1774
209	470	1770
210	472	1766
211	474	1765
212	476	1761
213	478	1756
214	481	1757
215	483	1754
216	487	1758
217	489	1755
218	496	1769
219	498	1768
220	500	1764
221	502	1759
222	504	1758
223	505	1751
224	507	1747
225	510	1749
226	512	1745
227	514	1742
228	516	1738
229	518	1734
230	522	1739
231	524	1735
232	527	1737
233	529	1733
234	530	1728
235	533	1726
236	535	1722
237	536	1718
238	538	1716
239	540	1711
240	542	1708
241	545	1708
242	547	1705
243	552	1711
244	556	1716
245	558	1713
246	561	1713
247	563	1710
248	567	1710
249	568	1706
250	570	1703
251	572	1699
252	573	1694
253	576	1693
254	578	1691
255	581	1689
256	583	1687
257	584	1682
258	589	1685
259	593	1689
260	595	1686
261	596	1680
262	599	1680
263	601	1675
264	603	1675
265	605	1672
266	607	1667
267	609	1665
268	611	1661
269	613	1657
270	615	1656
271	616	1650
272	618	1646
273	620	1644
274	622	1641
275	624	1637
276	626	1635
277	627	1630
278	629	1627
279	631	1624
280	633	1621
281	635	1617
282	637	1616
283	640	1614
284	641	1610
285	644	1607
286	645	1603
287	647	1599
288	649	1598
289	651	1594
290	652	1590
291	656	1592
292	658	1587
293	660	1587
294	662	1583
295	664	1580
296	668	1581
297	669	1576
298	672	1575
299	673	1572
300	675	1568
301	678	1567
302	680	1564
303	681	1560
